Vocabulary,P(not Spam),P(Spam)
become,0.0009658725048293626,0.0005777007510109763
for,0.018673535093367676,0.023830155979202773
counselor,0.0008048937540244687,0.00014442518775274407
camp,0.0008048937540244687,0.00028885037550548814
a,0.009497746297488731,0.012564991334488735
job,0.0016097875080489374,0.002310803004043905
summer,0.0019317450096587251,0.0012998266897746968
looking,0.0011268512556342563,0.0008665511265164644
have,0.0035415325177076628,0.004910456383593298
next,0.0016097875080489374,0.0025996533795493936
class,0.0022537025112685126,0.0005777007510109763
monday,0.0011268512556342563,0.0004332755632582322
1st,0.0003219575016097875,0.00028885037550548814
we,0.000643915003219575,0.0033217793183131137
13,0.0003219575016097875,0.00028885037550548814
jan,0.0004829362524146813,0.00028885037550548814
remaining,0.0003219575016097875,0.00014442518775274407
you,0.010946555054732776,0.0219526285384171
data,0.0028976175144880875,0.0015886770652801848
10,0.000643915003219575,0.002166377816291161
inquiry,0.0004829362524146813,0.00014442518775274407
fair,0.0022537025112685126,0.0007221259387637204
undergraduate,0.0003219575016097875,0.00014442518775274407
creative,0.0004829362524146813,0.00014442518775274407
weekly,0.002736638763683194,0.00028885037550548814
report,0.0020927237604636186,0.0007221259387637204
ocaml,0.0003219575016097875,0.00014442518775274407
website,0.000643915003219575,0.0004332755632582322
programming,0.0008048937540244687,0.00014442518775274407
930,0.0004829362524146813,0.00014442518775274407
installationjane,0.0003219575016097875,0.00014442518775274407
s1908ece3520,0.0003219575016097875,0.00014442518775274407
systems,0.000643915003219575,0.00014442518775274407
001,0.0024146812620734065,0.00028885037550548814
lecture,0.0003219575016097875,0.00014442518775274407
and,0.01159047005795235,0.00779896013864818
trading,0.0003219575016097875,0.0010109763142692085
street,0.0003219575016097875,0.00014442518775274407
registration,0.0014488087572440437,0.0004332755632582322
thank,0.0016097875080489374,0.00014442518775274407
your,0.026400515132002575,0.02267475447718082
career,0.0025756600128783,0.0017331022530329288
go,0.0008048937540244687,0.00014442518775274407
how,0.0017707662588538314,0.002455228191796649
did,0.0011268512556342563,0.0005777007510109763
it,0.0025756600128783,0.004766031195840554
reminder,0.004507405022537025,0.0015886770652801848
session,0.0009658725048293626,0.0007221259387637204
training,0.00128783000643915,0.00028885037550548814
services,0.0014488087572440437,0.0004332755632582322
advising,0.0022537025112685126,0.00028885037550548814
international,0.0008048937540244687,0.0004332755632582322
cancelling,0.0004829362524146813,0.00014442518775274407
today,0.0028976175144880875,0.005632582322357019
campaign,0.0003219575016097875,0.00014442518775274407
30,0.0004829362524146813,0.001877527440785673
hope,0.0003219575016097875,0.00014442518775274407
days,0.0004829362524146813,0.0008665511265164644
swamp,0.0003219575016097875,0.00014442518775274407
of,0.009497746297488731,0.007365684575389948
kick,0.0004829362524146813,0.00028885037550548814
rabbits,0.0003219575016097875,0.00014442518775274407
off,0.0017707662588538314,0.007365684575389948
on,0.008370895041854474,0.009820912767186597
10th,0.0008048937540244687,0.00028885037550548814
googleâs,0.000643915003219575,0.00014442518775274407
clemson,0.008048937540244688,0.0028885037550548816
9th,0.0008048937540244687,0.00014442518775274407
rsvp,0.0008048937540244687,0.00014442518775274407
requested,0.0009658725048293626,0.0004332755632582322
coming,0.00128783000643915,0.0008665511265164644
to,0.01980038634900193,0.021808203350664357
march,0.00128783000643915,0.0004332755632582322
06,0.0003219575016097875,0.00014442518775274407
1130a1150a,0.0003219575016097875,0.00014442518775274407
appointment,0.0011268512556342563,0.00014442518775274407
preregistration,0.0003219575016097875,0.00014442518775274407
mar,0.000643915003219575,0.00014442518775274407
2020,0.004024468770122344,0.004766031195840554
notification,0.0009658725048293626,0.00028885037550548814
reported,0.0011268512556342563,0.0004332755632582322
